sku,rating,good points,bad points
B12AJE0040,"[9, 10, 9]","['De bodywarmer is ten opzichte\nVan het vorige model sterk verbeterd de binnen stof van de kraag is sterker en de vulling is nu dons ook de pasvorm is beter waaronder is hij aan de achterkant langer beter voor de fiets', 'Heerlijk warm en goede pasvorm', 'Goed warm en lichtgewicht. Mooi gemaakt, handige zakken met ritsen. Bedekt rug en billen, waardoor geen koude rug met bukken.']","['Ik mis een lusje om hem aan de kapstok te hangen.', 'Zou wat mij betreft meer dons in mogen']"
B12AJE0040,"[10, 9, 9]",['Mooi design'],['Binnenzakken']
E12ACA0203,[8],"['Materiaal, kwaliteit, design']","['Kraag beetje stug, wordt wellicht soepeler bij gebruik']"
B12AH90086,[9],['Goede combo door korte mouwen'],['Geen']
ADBAD22003,"[8, 8, 9]","['Dik, warm en stevig', 'Goede afwerking', 'Mooi materiaal, mooi afgewerkt, hoge sluiting op de nek houdt kou buiten.']","['Zoals altijd zal dit produkt op de naden de geest geven.', 'Geen']"
ADBAD22003,"[9, 10]","['Heerlijke tussenlaag, goede kwaliteit materiaal']","['beetje stug door het gebruik van de G1000 op de schouder, zal wel veranderen bij gebruik...']"
B12A000094,"[8, 9, 9]","['Was zoals bedchreven', 'Kwaliteit', 'Zit prima']","['Prijzig', 'Geen']"
B12A000094,"[8, 9, 8]",['Alles'],['Weet ik niet']
AEBAC70008,"[9, 9]",['Winddicht en lekker licht.'],[]
ACBCC90032,[10],['zeer kwalitatief\nlicht\nLeuke kleuren'],['enorme regenkap\nmoeilijke keuze voor de juiste maat']
AEBAF00011,[9],['Zeer lekkere jas'],[]
ACBCE00019,[3],['Oude jasjes waren perfect. Jammer dat er ander materiaal en het ontwerp veranderd is.'],"['materiaal synthetisch, kleur te donker']"
ACBAF00003,"[10, 10, 7]","['Beantwoordt precies aan verwachting.', 'Ontzettend fijn en mooi vest.', 'kleur en warmte']","['Geen', 'elastiek onder voor betere aansluiting']"
AEBAF00009,"[10, 10]","['Goed ademende jas!, winddicht, waterafstotend, en isolerend, erg comfortabel']",['Geen']
AEBCC70017,"[9, 9, 9]","['Pasvorm, materiaal, kwaliteit.', 'Lichtgewicht, winddicht, prima voor sport!', 'Heerlijke jas voor in het voorjaar en najaar.']","['Kleur in realiteit iets groener dan op afbeelding, maar nog steeds top.', 'Had een heel heel klein beetje dikker mogen zijn.']"
ADBAD52008,[8],['De kwaliteit en de flexibele zijpanden'],[]
ACBCC90077,[9],['Duurzaam\nKwaliteit\nWinddicht\nLicht'],['Kan zweten bij activiteit']
B12AJE0046,[9],"['Lekker warm, goede pasvorm. Armen kunnen vrij bewegen als je bijvoorbeeld aan het boomklimmen bent. Past bij vele outdoor-activiteiten.']",['Een haakje om de bodywarmer op te hangen.']
ADBCF00030,[10],"['Heerlijk lichtgewicht jasje\nNiet 100% winddicht, wist ik van te voren maar de voering maakt dit deels goed.']",['Geen']
B12AD90065,"[7, 8, 8]","['Al eerdere versies van deze jas gehad naar tevredenhied. Ook nu weer\uf603', 'Fijn dat er ristsen onder de oksels zitten , voor extra ventilatie']","['De pasvorm is slim-fit en persoonlijk vind ik dit met wandelen niet fijn zitten. Ik heb de jas daarom geruild.', 'De maatvoering was wel wat apart. Tussen de L en XL zat bijna 10cm verschil in (op elkaar gelegd in de breedte) . Omgeruild voor een kleinere versie. \n\nHadden de vorige versies duimlussen zijn deze nu wegbezuinigd \uf61e', 'Nee.']"
B12AD90150,"[9, 8]",['Het jack is winddicht waardoor hij zelfs bij koud weer boven verwachting comfortabel is als ik er een trui onder draag.'],['Verbeter punten voor de review voeg nvt toe of nog niet getest']
B12A000095,"[9, 9, 6]","['Lekker licht. Makkelijk mee te nemen', 'Goed matriaal', 'Geen']","['Nog geen idee', 'Zou meer keuze gehad hebben in de maten', 'Wind dichter \nEn in iedergeval water afstotender maken dan dit']"
ACBAC00001,"[10, 9]",['Het is mijn zoveelste vest van dit model. Ik koop het vooral voor de veilige binnenzak\nvoor mijn portemonnee'],"['nee, alleen maar pluspunten']"
ADBAE00001,"[10, 9, 10]","['Zit goed', 'Warm\nVeel zakken', 'De crème witte kleur']","['Geen', 'Pluisjes geven af']"
ADBAE00001,"[8, 9, 8]","['Leuk mooi gezellig', 'Goed model, warm']",[]
ACBCC32090,"[9, 10]","['Je kunt hem rustig een maatje kleiner kopen.', 'Bewegingsvrijheid,storage.Hoogkwalitatief materiaal']",['Een extra aantrekkoord onder was wenselijk geweest']
ACBCXX2002,"[10, 9, 9]","['comfort', 'Kwalitatief goed materiaal en warm.', 'Mooie kleur, fijne stof']","['de mouwen zijn iets te lang', 'Valt ruim.']"
ACBCXX2002,"[9, 9, 7]","['Lange mouwen, zeer stevig, genoeg zakken, kan beter tegen regen dan verwacht. Drukknopen aan de mouwen voelen degelijker en fijner aan dan klitteband.', 'alles aan de jas is goed', 'kwaliteit materiaal en tijdloosheid']","['De padded versie van deze jas heeft vakjes in de borstzakjes, dat mis ik bij deze. En, als je iets in de binnenzakken hebt zit dat een soort van in de weg bij de buitenzakken.', 'prijs is wat hoog. voor dit geld moet de jas minstens 4 jaar dienst doen.', 'Ik heb de mouwen moeten laten inkorten en tevens een extra drukker laten plaatsen op de manchetten zodat goed sluitbaar zijn. De capuchon heb ik laten voorzien van 3 strookjes klittenband zodat hij er niet bijbungeld maar opgerold als kraag kan zitten zoals ik ook op mijn Tenson jack heb.']"
ADBCD52060,"[10, 9]","['kwaliteit,zit lekker,fijn om met te wandelen', 'Prachtige vorm, functionaliteit en materiaal.']","['momenteel weet ik dit nog niet,ik heb mijn jas nog niet zolang']"
ACBCC22002,"[10, 10, 9]","['Mooie kleur, stevige stof, zit lekker!', 'Fijne jas', 'Goed passende jas\nVerrassend waterafstotend\nGeen PFC\nAan te passen met greenland wax']","['Geen', 'Geen membraam dus niet waterdicht']"
ACBCC22002,"[9, 7]","['mooie kleur, geschikt voor de zomer']","['Nee', 'mouwen/schouders zijn aan de krappe kant']"
ACBAD70008,"[10, 9]","['Heerlijk warm en fijn onder je jas als het heel koud is.', 'Goede pasvorm, sluit goed aan, met warme kraag in de nek.']",['Geen']
B12A000098,"[8, 8, 10]","['Fijne pasvorm en kwaliteit', 'Kwaliteit', 'Kwaliteit']","['Diverse reflecterende punten op de jas was wel mooi geweest.  Omdat ik ook smorgens of savonds wandel  wanneer het nog beetje donker is.', 'Prijzig']"
B12A000098,"[9, 9, 8]",['Fijne pasvorm'],['Paar extra zakken']
B12A000157,"[8, 10, 10]","['Afwerking, materiaal echt top! Gewoon wat je verwacht van de North Face producten.', 'Zit heerlijk, perfecte pasvorm.']","['Helaas wel een minpunt, de mouwen zijn nét tekort. Heb ook nog een maat groter jas geprobeerd maar ook daar blijken de mouwen net tekort. Jammer, had de jas graag gehouden.', 'Geen']"
AEBAE10008,"[8, 10, 9]",['De pasvorm en soepelheid van het product'],['De rits is een tweewegsysteem (gaat ook van onderen open). Soms komt.t het voor dat decrits onderaan al opengaat zonder dat dit de bedoeling is. Iets van een blokkade of iets dergelijks zou misschien helpen dat de rits niet spontaan opent van de onderkant?']
AEBAF10001,[9],"['Goede kwaliteit, betaalbaar. Goed waterafstotend en comfortabel. Fijn jack voor lange wandelingen.']",['Geen.']
B12AJE0018,[7],['Mooi'],['Iets steviger']
B12AH90046,"[9, 8, 9]","['Mooi afgewerkt', 'Fijn materiaal; lekker warm product']",['Nee']
B12AD90010,"[9, 10]","['Soepele stof en winddicht.', 'Mooie en zeer prettige jas']",[]
C12AD90005,"[5, 8]","['pasvorm', 'Capuchon']","['- gevoel van de stof, dun en ""plakkerig""\n- capuchon niet weg te doen\n- zakken niet af te sluiten\n- erg dun jackie', 'Geen']"
AEBAD90002,"[8, 8, 8]","['winddicht en heerlijke voering', 'Warmer dan verwacht']","['nog niet ontdekt', 'Mis een binnenzak']"
AEBAD90002,"[9, 8, 9]","['Goede kwaliteit, lekker warm, zit heerlijk!', 'Top jas lekker zacht van binnen, goed warm, genoeg zakken.', 'Ideale jas en ook nog mooi.']",['Op sommige plekken zitten er allemaal pluisjes los van de jas  na een paar maanden dragen']
B12AD90130,"[8, 7, 6]","['Prijs kwaliteit verhouding\nMooie product om te zien', 'Wat langere pasvorm ten opzichte van de andere merken.', 'gewoon een goed doordacht en goed gesneden en goed afgewerkt product voor een (erg) lage prijs.']","['Oranje labeltje op de binnenkant van de jas om de jas mee op te hangen beter vastzetten. Kwam bij mijn jas meteen al los toen ik jas ophing.', 'Je moet dit niet als een regenjas verkopen.\nHet is écht te weinig waterafstotend / te veel waterdoorlatend.']"
AEBAD90002,"[9, 3, 7]","['Mooie jas die lekker warm zit en met plezier gedragen wordt. Ook een hele mooie kleur.', 'Mooie jas, ik was altijd wel gek op dit merk. Maar The North Face is niet meer wat het was.', 'Goede afscherming van de elementen, behoorlijk regenvast en wind maakt helemaal geen kans.']","[""De jas is gevoerd met een soort zwart fleece dat enorm afgeeft: mijn shirts, truien, alles wat ik onder de jas draag zit onder de zwarte pluizen en vegen. Erg slechte kwaliteit. Je kan het ergste oplossen door de binnenkant te behandelen met zo'n pluizenroller, maar eigen onzin dat je dat moet doen."", 'Het borstzakje is te klein vokr mn mobiel, omdat het een softshell is valt de jas wat stug en elke vorm van taillering ontbreekt waardoor hij wat los om mn lijf valt.']"
B12AD90130,"[8, 10, 10]","['Pasvorm', 'Super jasje. Niet duur en goed wind- en regendicht', 'Erg fijne lichtgewicht softshell jas. Wind en water dicht genoeg voor hiken in lichte regen of matig koude wind.\nMaar ook dun genoeg om het niet te warm te krijgen']",['Blijft niet lang waterafstotend.']
AEBAD90002,"[6, 8, 10]","['Mooi product.', 'Afwerking', 'Fijne jas met een goede pasvorm. Een echt pluspunt is de zachte en warme fleecevoering!']","['Minder warm als je zou verwachten en winddichtheid is ook niet wat ik gewend ben…..jammer', 'Rits', 'De omgedraaide rits is even wennen.']"
B12AD90130,"[8, 10, 9]","['Mooie pasvorm', 'Goede capuchon, handig sluitend te maken dat die niet wegwaait. Redelijk lange rug, handig op de fiets', 'Fijn om te dragen. Erg goed winddicht']","['Ja had mooi geweest al er ventilatie gaatjes onder de oksels hadden gezeten.Bij echt goed tempo door wandelen gaat het toch een beetje te warm worden.', 'de kraag is iets te hoog, kan irritant onder de kin scheuren.']"
B12AD90130,"[9, 8, 7]","['Prijs/kwaliteit', 'Heerlijk zachte voering rondom het torso en fijne lengte. Goed voor in verschillende weersomstandigheden.']","['Nog geen bekend tot nu toe.', 'Jas niet geschikt bij erg koud weer.', 'Rits is aan de onderzijde een aantal keer al losgegaan. En het is, ondanks de voering, te adviseren er toch een warm vest onder te doen. Het is niet een heel warme jas.']"
AEBAD90002,"[10, 8, 9]","['Goede kwaliteit en perfecte pasvorm', 'Warme stof aan de binnenzijde', 'Winddicht, waterafstotend, warm']","['Ik heb ze nog niet kunnen ontdekken', 'Binnenzak niet aanwezig', 'Mouwen mogen aan het eind iets strakker sluiten. Ivm wind.']"
ACBCE00010,[10],['Echt winddicht!'],['Geen']
B12AD90130,"[7, 10, 8]","['kleur', 'Mooie fijne jas. Ik ben er helemaal content mee.', 'Ziet er stijlvol uit.']","['kon wat modieuzer model zijn', 'Nog niet kunnen vinden', 'Geen']"
B12AD90130,"[9, 9, 8]","['Goed wind dicht, fijne stof.', 'Mooie kleur en leuk model']","['Waterdichtheid', 'Nee', 'De binnenkant van de capuchon is van materiaal dat uitvallend haar te goed vasthoudt. Het is moeilijk te vrrwijderen']"
B12AD90130,"[9, 8, 8]","['Prima Jack', '1', 'Goeie jas, prettige diepe zakken, en zijpocket met rits aan de buitenkant.']","['1', 'Lijkt niet echt winddicht.']"
B12AD90130,"[8, 8, 10]","['Kleur\nBewegingsvrijheid', 'De jas heeft een prettige pasvorm. De jas is wind- en waterdicht en heeft een hoge kraag.', 'Alles']","['Dunne eleastische touwtjes voor aantrekken bijvoorbeeld hals sluiting', 'Er zit geen voering in de jas en de hoge kraag is minder prettig als je je rits niet tot bovenaan dichttrekt.', 'Geen']"
B12AD90130,"[9, 9, 8]","['Geweldige ritssluiting, toffe pasvorm en mooie kleur', 'Sluit goed aan en is voldoende waterafstotend voor een groot deel van de buien.', 'Winddicht, mooi ontwerp']","['Kleine losse draadjes aan de jas, dewelke ik heb weggeknipt.', 'Zakken zijn zo groot dat spullen opzij schuiven wat het draagcomfort beïnvloed. Maar dat went en is een detail.', 'Mag iets ruimer passen, zodat de jas niet te strak zit met een wat dikkere trui']"
B12AD90130,"[9, 10, 8]",['.'],"['.', 'binnenzak']"
B12AH90089,"[10, 9]",['Veel opbergruimte voor papieren en sleutels.'],['Nog niet ontdekt gebruik komt met het betere weer.']
B12AD90082,[10],"['Modieus, dun maar sterk van uitmuntende kwaliteit, lekker voor hiking/wandelen tussen 5 en 20 graden boven nul. Niet warm maar wel goed winddicht en sterk waterafstotend: bij flinke buien of regen >10 minuten alsnog waterdoorlatend. Veel stretch, handige zijpockets met rits en binnenzakje. Als het frisser wordt een fleece baselayer of midlayer er onder, geen probleem. Zowel een vest alsook een dun jasje. Topaankoop, een aanrader']",['Nog niet ontdekt']
AEBAE10001,"[8, 9, 9]","['Prima pasvorm', 'Goed', 'Comfort en afwerking']","['Goed', 'De mouwen zijn wat aan de lange kant']"
AEBAE10006,"[8, 10]","['Pasvorm', 'pasvorm en zakken']","['Iets meer wind blokkerend.', 'neen']"
AEBAE10001,"[9, 8, 10]","['Kwaliteit', 'voor in de zomer.Veel zakken 3 met ritsen voor en 1 diepe binnenzak zonder sluiting.', 'Perfect']","['Nee', 'Had nog een binnenzak kunnen hebben voor b.v. mobieltje.']"
AEBAE10001,"[10, 9, 8]","['Zit lekker, mooie jas en functioneel tegen de wind']",[]
AEBAC60008,"[9, 10, 10]","['Draagt  makkelijk   licht en goede pasvorm', 'draagcomfort, winddicht, manchetten zonder klitteband', 'Iigt']","['mis een kleine binnenzak  ( afsluitbaar)', 'Borstzakje linksboven!']"
AEBAC60008,"[9, 9, 8]","['Helemaal goed. Dun en toch warm', 'Makkelijke, warme windstopper']","['Nvt', 'Geen']"
AEBAC70007,"[9, 10, 9]","['Goede kwaliteit en pasvorm', 'Eindelijk geen zwart']",['Nog niet']
B12AD90171,"[9, 8]","['Het ontwerp en pasvorm.\nTevens de perfecte opbergmogelijkheid van de capuchon', 'Prima jas. Al in de regen meegefietst en goed waterdicht. Was ook een stevige bui overigens! De jas is ook goed winddicht!']","['Had voor mij iets langer mogen zijn, dit had de veelzijdigheid vergroot, nu is het een typische voorjaar/zomerjas', 'Er is op de borst een zakje waar je bijvoorbeeld een telefoon in kan stoppen en met een rits sluit je het zakje. Maar het oogt niet mooi, de stof gaat dan rekken en het hangt dan wat uit.  Maar voor de rest prima']"
